SLIDE,IN_FINGERPRINT_TABLE,STATICALLY_REACHABLE,EVIDENCE,CONFIDENCE,NOTES
0x000000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x004000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x008000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x00c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x010000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x014000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x018000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x01c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x020000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x024000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
