NAME,ZG3_VALUE,USERS,ACTIVE_PATH,PRIMARY_CRITICALITY,FAILURE_EFFECT,WHY_RUNTIME_DEPENDENT,STATIC_CONSTRAINTS,SAFE_RANGE_IF_SOURCE_DEFINES_ONE,FUTURE_INFORMATION_REQUIRED
SLIDE_KERNEL_PAGE_SETUP_ATTEMPTS,2,slide_app.c; controlled-page setup loop,YES,RETRY_POLICY,LOWER_SUCCESS_RATE,Allocator/reclaim success distribution is runtime state,Positive attempt count; loop bound only,>=1 for an attempt; no source maximum,EZE4 outcome evidence
FOPS_KERNEL_PAGE_SETUP_ATTEMPTS,2,slide_app.c; fops controlled-page setup loop,YES,RETRY_POLICY,LOWER_SUCCESS_RATE,Allocator/reclaim success distribution is runtime state,Positive attempt count; loop bound only,>=1 for an attempt; no source maximum,EZE4 outcome evidence
FOPS_ROUTE_COARSE_DELAY_USEC,50000,slide_app.c; fops route timing,YES,RACE_SENSITIVITY,LOWER_SUCCESS_RATE,Scheduler timing is runtime dependent,Consumed as a microsecond delay,No semantic safe interval defined,EZE4 timing behavior
FOPS_ROUTE_FINE_DELAY_TICKS,0ULL; 0x10ULL; 0x20ULL; 0x30ULL; 0x40ULL; 0x60ULL; 0x80ULL; 0x18ULL,slide_app.c; fine timing sweep,YES,RACE_SENSITIVITY,LOWER_SUCCESS_RATE,Counter/scheduler timing is runtime dependent,Finite tick array; each value is an unsigned delay,No semantic safe interval defined,EZE4 timing behavior
DEFAULT_EXPLOIT_ATTEMPTS,8,preload.c supervisor,YES,RETRY_POLICY,LOWER_SUCCESS_RATE,Success probability and dirty-state exits are runtime outcomes,Positive child-attempt cap,>=1; no source maximum,EZE4 outcome and dirty-state evidence
DEFAULT_ATTEMPT_TIMEOUT_SEC,2200,preload.c supervisor,YES,RETRY_POLICY,SAFE_ABORT,Completion duration is runtime dependent,Positive timeout; expiry kills/ends child,>0; no source maximum,EZE4 duration evidence
DEFAULT_P0_ATTEMPT_TIMEOUT_SEC,1200,preload.c supervisor before P0 completion,YES,RETRY_POLICY,SAFE_ABORT,P0 completion duration is runtime dependent,Positive timeout; expiry ends attempt,>0; no source maximum,EZE4 duration evidence
SLIDE_WAIT_NSEC,2000000000L,slide_app.c; PI waiter synchronization,YES,RACE_SENSITIVITY,PATH_FAILURE,Waiter-state establishment depends on scheduling,Positive nanosecond wait passed to wait logic,>0; no source maximum,EZE4 scheduler behavior
SLIDE_REQUEUE_ARM_USEC,20000,slide_app.c; requeue arm delay,YES,RACE_SENSITIVITY,PATH_FAILURE,Requeue ordering depends on scheduling,Consumed as microsecond delay,No semantic safe interval defined,EZE4 scheduler behavior
SLIDE_KSNITCH_APPENDED_FUTEXES,2048,page.c; KernelSnitch candidate population,YES,RESOURCE_LIMIT,PATH_FAILURE,Available memory and candidate discovery are runtime state,Positive allocation/sample count,>0; resource ceiling environment-defined,EZE4 allocation and discovery evidence
SLIDE_KSNITCH_REPEAT_MEASUREMENT,64,page.c; KernelSnitch measurement loop,YES,ENVIRONMENT_DISCOVERY,LOWER_SUCCESS_RATE,Signal/noise is runtime dependent,Positive repeat count,>0; no source maximum,EZE4 signal/noise evidence
SLIDE_KSNITCH_AVERAGE,8,page.c; KernelSnitch averaging,YES,ENVIRONMENT_DISCOVERY,LOWER_SUCCESS_RATE,Signal/noise is runtime dependent,Positive averaging divisor/count,>0; no source maximum,EZE4 signal/noise evidence
SLIDE_KSNITCH_SCREEN_REPEAT,16,page.c; candidate screening,YES,ENVIRONMENT_DISCOVERY,LOWER_SUCCESS_RATE,Candidate separation is runtime dependent,Positive repeat count,>0; no source maximum,EZE4 signal/noise evidence
SLIDE_KSNITCH_SCREEN_AVERAGE,3,page.c; screening average,YES,ENVIRONMENT_DISCOVERY,LOWER_SUCCESS_RATE,Candidate separation is runtime dependent,Positive averaging divisor/count,>0; no source maximum,EZE4 signal/noise evidence
SKB_SEND_SIZE,0x8e80,page.c; pipe.c; fops.c socket-buffer allocation/reclaim,YES,CORRECTNESS_CRITICAL,PATH_FAILURE,Allocator cache/overlap outcome depends on runtime slab state,Must satisfy source allocation and message-size checks; no EZE4 proof of achieved cache behavior,No explicit numeric interval in target source,EZE4 allocator-path validation
SKB_RECLAIM_SENDS,64,page.c; pipe.c; fops.c reclaim spray,YES,RESOURCE_LIMIT,LOWER_SUCCESS_RATE,Reclaim coverage depends on allocator state,Positive send count and available resources,>0; resource ceiling environment-defined,EZE4 allocator outcome evidence
SLIDE_RECLAIM_SENDS,64,slide_app.c; slide-stage reclaim spray,YES,RESOURCE_LIMIT,LOWER_SUCCESS_RATE,Reclaim coverage depends on allocator state,Positive send count and available resources,>0; resource ceiling environment-defined,EZE4 allocator outcome evidence
