finding_id,severity,domain,title,description,affected_files,evidence,impact,recommended_fix,blocking_j3,blocking_l3,status
F-001,S1,A,remove_waiter pi_top_task evidence citation,"stock_rtmutex_binary_verification.md L130-131 says pi_top_task=0x8a8 with evidence 'ldr x8, [x21, #2208]'. 2208 decimal = 0x8a0 = rb_leftmost, not 0x8a8. The pi_top_task offset is correct (0x8a8) but the cited instruction evidence is for the adjacent field. See audit prompt §4 known correction.",docs/rmg-eze4/stock_rtmutex_binary_verification.md,stock_rtmutex_binary_verification.md L131 says decimal 2208+8 which is confusing notation; instruction at 0x734 loads [x21 #2208] which is 0x8a0=rb_leftmost,Documentation accuracy; final offset value 0x8a8 is independently confirmed by BTF/DWARF eze4_struct_layout.csv L22,Clarify in doc that ldr at #2208 is rb_leftmost (0x8a0) and pi_top_task is at next qword 0x8a8,NO,NO,OPEN
F-002,S0,B,struct layout CSV uses mm_struct size 992 vs claimed sizeof 0x3e0,"eze4_struct_layout.csv L2 shows struct mm_struct size=992. 992 decimal = 0x3e0. MM_STRUCT_SZ=0x400 in target is the allocator bucket. The CSV and target_readiness_v2.csv L7 both correctly distinguish these. No active confusion found.",docs/rmg-eze4/eze4_struct_layout.csv;docs/rmg-eze4/eze4_target_readiness_v2.csv,"CSV size=992=0x3e0 matches sizeof; target_readiness_v2 L7 says '0x400 allocation bucket (sizeof=0x3e0)'",None — correctly handled,None needed,NO,NO,RESOLVED
F-003,S1,B,53/53 figure scope not explicitly documented,"The '53/53 identical' figure covers target-relevant structure members with ZG3 cross-references. 297 additional struct members have N/A ZG3 match (not target-relevant). The figure is correct but could be mistaken for 'entire kernel ABI identical' by a naive reader.",docs/rmg-eze4/CANONICAL_STATUS.md;docs/rmg-eze4/eze4_struct_layout.csv,"Independent count: 53 rows with MATCH_ZG3=IDENTICAL out of 350 total rows. 297 have N/A (not target-relevant). 0 have MISMATCH.",Documentation clarity only. No correctness impact.,Add explicit caveat that 53/53 covers target-relevant subset of 350 total struct members,NO,NO,OPEN
F-004,S0,C,Symbol map delta pattern is consistent -0xc0,"All four MINOR_DELTA symbols (KMALLOC_CACHES_OFF ANON_PIPE_BUF_OPS_OFF ASHMEM_FOPS_OFF) have exactly -0xc0 delta. SLIDE_NFULNL_LOGGER_NAME_OFF has -0xd8. All are independently derived from Image.stock disassembly per eze4_symbol_map.csv NOTES column. No stale rebuild addresses detected — each row has distinct EZE4_REBUILT_VMLINUX_ADDRESS and EZE4_STOCK_IMAGE_OFFSET columns.",docs/rmg-eze4/eze4_symbol_map.csv,"Three symbols at -0xc0 (-192 bytes), one at -0xd8 (-216 bytes). All marked ABSOLUTE_DISASSEMBLY or ABSOLUTE_PATTERN from Image.stock.",None — correctly handled,None needed,NO,NO,RESOLVED
F-005,S1,C,SLIDE_NFULNL_LOGGER_NAME_OFF delta explanation missing,"Three data symbols share a consistent -0xc0 delta suggesting a single .data/.rodata relocation block. SLIDE_NFULNL_LOGGER_NAME_OFF has -0xd8 instead. No explanation is documented for the additional -0x18 divergence.",docs/rmg-eze4/eze4_symbol_map.csv,Diff: 0x017fdc14 - 0x017fdb3c = 0xd8 vs 0xc0 for the other three,Minor documentation gap. Values are independently verified from Image.stock so correctness is not at risk.,Document why .rodata string has different relocation delta than .data symbols,NO,NO,OPEN
F-006,S0,D,"LOCK_OFF W0_OFF FOPS_OFF SCRATCH_OFF RIGHT_OFF LEFT_OFF FAKE_TASK_OFF correctly classified as PAYLOAD_SYNTHETIC_LAYOUT","eze4_target_readiness_v2.csv L120-126 correctly classify these as PAYLOAD_SYNTHETIC_LAYOUT with evidence 'Payload-owned layout/algorithm constant; independent of firmware binary layout'. Historical misclassification has been corrected.",docs/rmg-eze4/eze4_target_readiness_v2.csv,"L120-126 all show CATEGORY=PAYLOAD_SYNTHETIC_LAYOUT, STATUS=CONFIRMED_IDENTICAL",None — correctly handled,None needed,NO,NO,RESOLVED
F-007,S0,E,180-parameter accounting independently reproduced,"Independent count from eze4_target_readiness_v2.csv: CONFIRMED_IDENTICAL=143 CONFIRMED_CHANGED=10 LEGACY_INACTIVE=3 NOT_APPLICABLE=3 RUNTIME_VALIDATION_REQUIRED=20 STATICALLY_UNRESOLVED=1 TOTAL=180. No duplicates found. Matches CANONICAL_STATUS.md exactly.",docs/rmg-eze4/eze4_target_readiness_v2.csv;docs/rmg-eze4/CANONICAL_STATUS.md,"Python script counted 180 rows, 0 duplicate NAMEs, status counts match",None — correctly handled,None needed,NO,NO,RESOLVED
F-008,S1,E,20 vs 19 runtime parameter count discrepancy,"CANONICAL_STATUS.md says 20 RUNTIME_VALIDATION_REQUIRED. runtime_parameter_criticality.csv has 18 rows (19 parameters including ROOT_UMH_PATH). Phase G says '20 runtime parameters'. Independent count from target_readiness_v2 confirms 20. runtime_parameter_criticality.csv lists only 18 L3 parameters; ROOT_UMH_PATH is L1 and counted in the 20 but not in the 18-row L3 table. The count discrepancy is because ROOT_UMH_PATH is runtime-required but L1 not L3.",docs/rmg-eze4/runtime_parameter_criticality.csv;docs/rmg-eze4/eze4_target_readiness_v2.csv,"runtime_parameter_criticality.csv has 18 data rows. target_readiness_v2 has 20 RUNTIME_VALIDATION_REQUIRED rows. Difference is ROOT_UMH_PATH (L1) and P0_FINGERPRINT_MIN_BEST+P0_FINGERPRINT_MIN_MARGIN (algorithm constants listed in target_readiness but not in L3 criticality table).",Minor documentation confusion. P0_FINGERPRINT_MIN_BEST and P0_FINGERPRINT_MIN_MARGIN are EXPLOIT_ALGORITHM_CONSTANT category but RUNTIME_VALIDATION_REQUIRED status — this cross-category assignment should be documented.,Annotate the runtime parameter model to explain why 20 != 18+1,NO,NO,OPEN
F-009,S0,F,PI orientation PRODUCTION_STACK_PI_RIGHT_ONLY=0 confirmed,"eze4_target_readiness_v2.csv L14 shows PRODUCTION_STACK_PI_RIGHT_ONLY value 0 matching ZG3, STATUS=CONFIRMED_IDENTICAL. pi_orientation_matrix.csv exists and is referenced in CANONICAL_STATUS.md evidence chain.",docs/rmg-eze4/eze4_target_readiness_v2.csv;docs/rmg-eze4/pi_orientation_matrix.csv,L14: value=0 both ZG3 and EZE4. Static ordering compatibility only — does not prove runtime exploitation reliability.,None — correctly scoped,None needed,NO,NO,RESOLVED
F-010,S0,G,P0 oracle 125 candidates independently verified,"generate_p0_fingerprint.py L215: expected_rows = (probe_offset // step) + 1 = (0x1f0000 // 0x4000) + 1 = 124 + 1 = 125. p0_oracle_algorithm.md §3 explicitly documents the 32-vs-125 discrepancy history. eze4_target_readiness_v2.csv L181 says '125 entries'.",tools/rmg-eze4/generate_p0_fingerprint.py;docs/rmg-eze4/p0_oracle_algorithm.md;docs/rmg-eze4/eze4_target_readiness_v2.csv,"Python formula: (0x1f0000 // 0x4000) + 1 = 125. Algorithm doc §3 explicitly corrects historical 32-candidate error.",None — correctly handled,None needed,NO,NO,RESOLVED
