ID,SELECTED,NAME,PRODUCER,CONSUMER_INTERPRETATION,CAPTURE_SOURCE,TIMESTAMP_SOURCE,PHASE,REQUIREMENT,FAILURE_MEANING,EXCLUSION_JUSTIFICATION
O01,YES,supervisor_configuration,preload supervisor,binds attempts p0_timeout and timeout to session,supervisor stdout,device event sequence plus host receipt,session start,REQUIRED,missing or timeout not 2200 is hard gate/session invalid,NA
O02,YES,attempt_start,child attempt-start log,binds ordinal PID delay and start boundary,supervisor stdout plus structured event,device CLOCK_MONOTONIC ns,attempt begin,REQUIRED,missing boundary makes trial invalid,NA
O03,YES,slide_ready,shared atomic state exposed by approved event adapter,separates pre-slide 1200 threshold from overall 2200 threshold,structured events,device CLOCK_MONOTONIC ns,stage transition,REQUIRED,missing on timeout makes candidate attribution inconclusive,NA
O04,YES,timeout_event,preload supervisor,identifies threshold seconds PID and supervisor decision,supervisor stdout plus structured event,device CLOCK_MONOTONIC ns,timeout decision,REQUIRED WHEN PRESENT,unpaired or malformed timeout makes trial inconclusive,NA
O05,YES,child_terminal_status,preload supervisor and wait-status collector,distinguishes exit signal supervisor kill and external kill,supervisor stdout plus process status,device CLOCK_MONOTONIC ns,child terminal/reap,REQUIRED,missing reap/status makes trial inconclusive,NA
O06,YES,completion_event,preload supervisor,confirms child exit zero for same attempt,supervisor stdout,device CLOCK_MONOTONIC ns,terminal,REQUIRED FOR QUALIFYING SUCCESS,missing with exit zero is source disagreement and inconclusive,NA
O07,YES,lifecycle_progress,existing stage-labelled child logs,proves qualifying intended lifecycle coverage and distinguishes deadlock,supervisor stdout/system log,device monotonic log timestamp or ordered sequence,attempt active,REQUIRED,insufficient progress prevents affirmative vote,NA
O08,YES,unsafe_retry_disposition,preload supervisor,records dirty writer retry refusal or clean retry decision,supervisor stdout,device event sequence,post-reap,REQUIRED,missing disposition prevents safe continuation and stops session,NA
O09,NO,p0_ready,shared atomic flag,P0 discovery detail,structured event,device CLOCK_MONOTONIC ns,pre-slide,OPTIONAL,none,slide_ready alone is sufficient to switch candidate threshold; P0 semantics are outside scope
O10,NO,pipe_physrw_summary,child,late-stage diagnostic,supervisor stdout,device log timestamp,late stage,OPTIONAL,none,completion plus lifecycle-progress contract is sufficient and summary concerns exploit outcome
O11,NO,boot_quiet_wait,preload supervisor,separates pre-session quiet wait,supervisor stdout,CLOCK_BOOTTIME,startup,OPTIONAL,none,trial timer starts after fork so condition snapshot and start boundary exclude this time
O12,NO,retry_quiet_delay,preload supervisor,separates five-second retry delay,supervisor stdout,device event sequence,between trials,OPTIONAL,none,each new post-fork start boundary mechanically excludes this delay
O13,NO,all_attempts_exhausted,preload supervisor,session terminal after attempt budget,supervisor stdout,device event sequence,session end,OPTIONAL,none,per-trial terminal status and unsafe disposition suffice; attempt-cap policy is outside scope
O14,NO,p0_dirty_specific_message,preload supervisor,specific P0 unsafe state,supervisor stdout,device event sequence,post-reap,OPTIONAL,none,covered by selected unsafe_retry_disposition category without validating P0
