PARAMETER,P0_DEPENDENCY,CRITICALITY,FAILURE_EFFECT,MIN_EVIDENCE_LEVEL,HARD_PREREQUISITES,SOFT_PREREQUISITES,OBSERVABLE_CLARITY,ATTRIBUTION_QUALITY,EXPECTED_FAILURE_CONTAINMENT,CROSS_BOOT_REQUIRED,CROSS_CONDITION_REQUIRED,FIRST_WAVE_SCORE,FIRST_WAVE_ELIGIBLE,REASON
SLIDE_KERNEL_PAGE_SETUP_ATTEMPTS,P0_DEPENDENT,RELIABILITY_CRITICAL,LOWER_SUCCESS_RATE,E3,NONE,NONE,HIGH,LOW,LOWER_SUCCESS_RATE,NO,NO,20,NO,DEPENDENCY_CLOSED=YES; P0-dependent interpretation remains unresolved.
FOPS_KERNEL_PAGE_SETUP_ATTEMPTS,P0_DEPENDENT,RELIABILITY_CRITICAL,LOWER_SUCCESS_RATE,E3,NONE,NONE,HIGH,LOW,LOWER_SUCCESS_RATE,NO,NO,20,NO,DEPENDENCY_CLOSED=YES; P0-dependent interpretation remains unresolved.
FOPS_ROUTE_COARSE_DELAY_USEC,P0_DEPENDENT,CORRECTNESS_CRITICAL,WRONG_STATE,E4,NONE,FOPS_KERNEL_PAGE_SETUP_ATTEMPTS,HIGH,LOW,WRONG_STATE,NO,YES,0,NO,DEPENDENCY_CLOSED=NO; must-validate timing parameter; P0-dependent; unresolved setup prerequisite.
FOPS_ROUTE_FINE_DELAY_TICKS,P0_DEPENDENT,CORRECTNESS_CRITICAL,WRONG_STATE,E4,FOPS_ROUTE_COARSE_DELAY_USEC,NONE,HIGH,LOW,WRONG_STATE,NO,YES,0,NO,DEPENDENCY_CLOSED=NO; must-validate timing parameter with unresolved hard prerequisite and P0 dependence.
DEFAULT_EXPLOIT_ATTEMPTS,P0_INDEPENDENT,POLICY_ONLY,LOWER_SUCCESS_RATE,E4,NONE,FOPS_ROUTE_FINE_DELAY_TICKS,MEDIUM,LOW,LOWER_SUCCESS_RATE,YES,YES,50,NO,DEPENDENCY_CLOSED=NO; attempt-cap attribution relies on stable per-attempt correctness outcomes and unresolved fine-sweep coverage.
DEFAULT_ATTEMPT_TIMEOUT_SEC,P0_INDEPENDENT,POLICY_ONLY,TIMEOUT,E4,NONE,NONE,HIGH,HIGH,TIMEOUT,NO,YES,95,YES,DEPENDENCY_CLOSED=YES; stage-labelled duration and expiry are directly attributable without P0 closure.
DEFAULT_P0_ATTEMPT_TIMEOUT_SEC,P0_ONLY,POLICY_ONLY,TIMEOUT,E4,DEFAULT_ATTEMPT_TIMEOUT_SEC,NONE,HIGH,LOW,TIMEOUT,YES,YES,10,NO,DEPENDENCY_CLOSED=NO; P0-only interpretation is blocked and its overall-timeout prerequisite is unresolved.
SLIDE_WAIT_NSEC,P0_DEPENDENT,CORRECTNESS_CRITICAL,WRONG_STATE,E4,NONE,SLIDE_KERNEL_PAGE_SETUP_ATTEMPTS,HIGH,LOW,WRONG_STATE,NO,YES,0,NO,DEPENDENCY_CLOSED=NO; must-validate timing parameter; P0-dependent; unresolved setup prerequisite.
SLIDE_REQUEUE_ARM_USEC,P0_DEPENDENT,CORRECTNESS_CRITICAL,WRONG_STATE,E4,SLIDE_WAIT_NSEC,NONE,HIGH,LOW,WRONG_STATE,NO,YES,0,NO,DEPENDENCY_CLOSED=NO; must-validate ordering parameter with unresolved hard prerequisite and P0 dependence.
SLIDE_KSNITCH_APPENDED_FUTEXES,P0_INDEPENDENT,RELIABILITY_CRITICAL,RESOURCE_EXHAUSTION,E4,NONE,NONE,HIGH,HIGH,RESOURCE_EXHAUSTION,NO,YES,70,YES,DEPENDENCY_CLOSED=YES; eligibility gates close but resource-exhaustion semantics make it less contained than the selected timeout candidate.
SLIDE_KSNITCH_REPEAT_MEASUREMENT,P0_INDEPENDENT,RELIABILITY_CRITICAL,FALSE_CLASSIFICATION,E4,NONE,SLIDE_KSNITCH_APPENDED_FUTEXES,HIGH,MEDIUM,FALSE_CLASSIFICATION,NO,YES,45,NO,DEPENDENCY_CLOSED=NO; coupled population/profile attribution is unresolved and false-classification semantics are disfavored.
SLIDE_KSNITCH_AVERAGE,P0_INDEPENDENT,RELIABILITY_CRITICAL,FALSE_CLASSIFICATION,E4,SLIDE_KSNITCH_REPEAT_MEASUREMENT,NONE,HIGH,LOW,FALSE_CLASSIFICATION,NO,YES,25,NO,DEPENDENCY_CLOSED=NO; hard prerequisite unresolved; paired-profile attribution is not high.
SLIDE_KSNITCH_SCREEN_REPEAT,P0_INDEPENDENT,RELIABILITY_CRITICAL,FALSE_CLASSIFICATION,E4,NONE,SLIDE_KSNITCH_REPEAT_MEASUREMENT,HIGH,MEDIUM,FALSE_CLASSIFICATION,NO,YES,45,NO,DEPENDENCY_CLOSED=NO; screening interpretation relies on unresolved full-profile ground truth and has false-classification semantics.
SLIDE_KSNITCH_SCREEN_AVERAGE,P0_INDEPENDENT,RELIABILITY_CRITICAL,FALSE_CLASSIFICATION,E4,SLIDE_KSNITCH_SCREEN_REPEAT,NONE,HIGH,LOW,FALSE_CLASSIFICATION,NO,YES,25,NO,DEPENDENCY_CLOSED=NO; hard prerequisite unresolved; paired-screen attribution is not high.
SKB_SEND_SIZE,P0_INDEPENDENT,CORRECTNESS_CRITICAL,WRONG_STATE,E3,NONE,NONE,HIGH,HIGH,WRONG_STATE,NO,NO,15,NO,DEPENDENCY_CLOSED=YES; explicitly deferred must-validate allocator parameter with wrong-state consequence.
SKB_RECLAIM_SENDS,P0_INDEPENDENT,RELIABILITY_CRITICAL,LOWER_SUCCESS_RATE,E4,SKB_SEND_SIZE,NONE,HIGH,LOW,LOWER_SUCCESS_RATE,NO,YES,40,NO,DEPENDENCY_CLOSED=NO; hard geometry prerequisite is unresolved so reclaim coverage is not attributable.
SLIDE_RECLAIM_SENDS,P0_DEPENDENT,RELIABILITY_CRITICAL,LOWER_SUCCESS_RATE,E4,SKB_SEND_SIZE,NONE,HIGH,LOW,LOWER_SUCCESS_RATE,NO,YES,10,NO,DEPENDENCY_CLOSED=NO; P0-dependent consumer identity and hard geometry prerequisite are unresolved.
P0_FINGERPRINT_MIN_BEST,P0_ONLY,CORRECTNESS_CRITICAL,FALSE_CLASSIFICATION,E4,NONE,NONE,HIGH,LOW,FALSE_CLASSIFICATION,YES,YES,0,NO,DEPENDENCY_CLOSED=YES; P0-only threshold blocked by open loader mapping and unknown collision reachability.
P0_FINGERPRINT_MIN_MARGIN,P0_ONLY,CORRECTNESS_CRITICAL,FALSE_CLASSIFICATION,E4,P0_FINGERPRINT_MIN_BEST,NONE,HIGH,LOW,FALSE_CLASSIFICATION,YES,YES,0,NO,DEPENDENCY_CLOSED=NO; P0-only threshold with unresolved hard threshold prerequisite and loader mapping.
