OBSERVATION,COMMAND,RESULT_CLASS,KEY_EVIDENCE,PARAMETER_OR_UNKNOWN,IMPACT,CONFIDENCE,NOTES
ADB connection,adb get-state,BASELINE_CONFIRMED,device,Session connectivity,Device was available after the sandbox-only daemon startup failure,HIGH,Initial failed raw record retained; unrestricted ordinary ADB then succeeded
Product model,adb shell getprop ro.product.model,BASELINE_CONFIRMED,SM-X510,Firmware baseline,Matches canonical target,HIGH,Verbatim raw record
Product device,adb shell getprop ro.product.device,BASELINE_CONFIRMED,gts9fewifi,Firmware baseline,Matches canonical target,HIGH,Verbatim raw record
Build identity,adb shell getprop ro.build.fingerprint; getprop ro.build.version.incremental,BASELINE_CONFIRMED,samsung/gts9fewifieea/gts9fewifi:16/BP4A.251205.006/X510XXUCEZE4:user/release-keys; X510XXUCEZE4,Firmware baseline; BUILD_FINGERPRINT,Confirms EZE4 and refines previously unavailable exact fingerprint,HIGH,"EEA fingerprint is new runtime metadata, not an active target-parameter requirement"
Security patch,adb shell getprop ro.build.version.security_patch,NEW_INFORMATION,2026-05-05,Firmware context,Records observed patch level,HIGH,No parameter promotion
Kernel identity,adb shell uname -a,BASELINE_CONFIRMED,5.15.189-android13-3-33478785; aarch64; PREEMPT,Kernel baseline,Matches the 5.15.189 lineage and adds exact stock build identity,HIGH,No L3 validation
Effective cmdline,adb shell cat /proc/cmdline,PERMISSION_LIMITED,Permission denied; status 1,nokaslr; loader inputs,Runtime nokaslr state remains unobserved,HIGH,No workaround attempted
Effective bootconfig,adb shell cat /proc/bootconfig,PERMISSION_LIMITED,Permission denied; status 1,Loader inputs,No runtime bootconfig evidence,HIGH,No workaround attempted
Logcat,adb logcat -b all -d -v threadtime,NO_INFORMATION,Successful complete retry; no kaslr or relocat matches; bootloader matches were CP/modem text and an adbd request string,P0/loader mapping,No direct or indirect kernel placement evidence,MEDIUM,First capture terminated during transient disconnect and is retained; retry returned status 0; missing matches are not proof of absence
Dmesg,adb shell dmesg,INCONCLUSIVE,ADB reported no devices/emulators at sole attempt,Kernel/loader logs,Accessibility and contents remain unknown,HIGH,Not retried under the one-attempt rule
CPU online,adb shell cat /sys/devices/system/cpu/online,NEW_INFORMATION,0-7,Race/timing prerequisites,Partially informs runtime environment only,HIGH,Does not validate timing constants
Memory environment,adb shell cat /proc/meminfo,NEW_INFORMATION,MemTotal 7899684 kB; MemAvailable 4335012 kB at capture; SwapTotal 8388604 kB,Allocator/resource prerequisites,"Partially informs setup, KernelSnitch, SKB, and reclaim context",HIGH,Single snapshot; no allocator-geometry validation
Uptime/load,adb shell cat /proc/uptime; cat /proc/loadavg,NEW_INFORMATION,uptime 41201.55 s; load 14.04 14.05 14.20 at capture,Timing context,Partially informs current environment,HIGH,Single snapshot; no race validation
ROOT_UMH_PATH metadata,adb shell ls -ld /data/local/tmp/cve-2026-43499-root,NEW_INFORMATION,No such file or directory,ROOT_UMH_PATH,Current untouched stock deployment status is NOT_FOUND,HIGH,Confirms deployment absence only; path compatibility remains untested
