NAME,CURRENT_VALUE,SOURCE_FILE,PRIMARY_ROLE,CONSUMER_PATH,DEPENDENCIES,DEPENDENTS,FAILURE_EFFECT,STATIC_CONSTRAINTS,L1_EVIDENCE,L3_VALIDATION_REQUIRED,NOTES
SLIDE_KERNEL_PAGE_SETUP_ATTEMPTS,2,target.h; slide_app.c,ATTEMPT_POLICY,slide controlled-page setup loop,Allocator/reclaim state; discovery state,SLIDE_WAIT_NSEC; SLIDE_REQUEUE_ARM_USEC,LOWER_SUCCESS_RATE,Positive loop bound; at least 1 for an attempt,CPU/memory context only,Repeated setup-attempt outcomes,Cap adequacy is empirical.
FOPS_KERNEL_PAGE_SETUP_ATTEMPTS,2,target.h; slide_app.c,ATTEMPT_POLICY,fops controlled-page setup loop,Allocator/reclaim state; discovered route,FOPS_ROUTE_COARSE_DELAY_USEC; FOPS_ROUTE_FINE_DELAY_TICKS,LOWER_SUCCESS_RATE,Positive loop bound; at least 1 for an attempt,CPU/memory context only,Repeated setup-attempt outcomes,Cap adequacy is empirical.
FOPS_ROUTE_COARSE_DELAY_USEC,50000,target.h; slide_app.c,SCHEDULER_TIMING,fops route coarse timing,FOPS_KERNEL_PAGE_SETUP_ATTEMPTS; scheduler/load,FOPS_ROUTE_FINE_DELAY_TICKS,LOWER_SUCCESS_RATE,Unsigned microsecond delay; no semantic safe interval,CPU/load snapshot only,Actual-state timing/order evidence,Coarse and fine timing are coupled.
FOPS_ROUTE_FINE_DELAY_TICKS,"0ULL; 0x10ULL; 0x20ULL; 0x30ULL; 0x40ULL; 0x60ULL; 0x80ULL; 0x18ULL",target.h; slide_app.c,SCHEDULER_TIMING,fops route per-attempt fine sweep,FOPS_ROUTE_COARSE_DELAY_USEC; counter/scheduler,None,LOWER_SUCCESS_RATE,Finite unsigned array; selected cyclically by supervisor attempt,CPU topology/load only,Actual-state timing/order evidence,Order in the array affects attempt scheduling.
DEFAULT_EXPLOIT_ATTEMPTS,8,target.h; preload.c,ATTEMPT_POLICY,supervisor child-attempt loop,Per-attempt success distribution; terminal dirty state,FOPS_ROUTE_FINE_DELAY_TICKS,LOWER_SUCCESS_RATE,Positive; supervisor parser admits 1..64,None,Attempt terminal-state distribution,Policy does not define child correctness.
DEFAULT_ATTEMPT_TIMEOUT_SEC,2200,target.h; preload.c,ATTEMPT_POLICY,overall supervisor timeout,All stage duration distributions,DEFAULT_P0_ATTEMPT_TIMEOUT_SEC,SAFE_ABORT,Positive; environment overrides are bounded; P0 timeout is clamped to it,None,Stage-labelled duration distribution,The fallback is returned directly when no override is present; the override bound does not invalidate the canonical fallback.
DEFAULT_P0_ATTEMPT_TIMEOUT_SEC,1200,target.h; preload.c,ATTEMPT_POLICY,pre-P0-ready supervisor timeout,P0 duration; DEFAULT_ATTEMPT_TIMEOUT_SEC,None,SAFE_ABORT,Positive; cannot exceed effective overall timeout,None,Pre-P0 duration and terminal-state distribution,Directly P0-specific.
SLIDE_WAIT_NSEC,2000000000L,target.h; slide_app.c,RACE_ORDERING,PI waiter synchronization,Scheduler/load; slide setup,SLIDE_REQUEUE_ARM_USEC,WRONG_STATE,Positive nanosecond wait; no semantic safe interval,CPU topology/load only,Waiter-state ordering evidence,One success cannot establish general compatibility.
SLIDE_REQUEUE_ARM_USEC,20000,target.h; slide_app.c,RACE_ORDERING,requeue arm delay,SLIDE_WAIT_NSEC; scheduler/load,None,WRONG_STATE,Microsecond delay; no semantic safe interval,CPU topology/load only,Requeue-state ordering evidence,Coupled with waiter establishment.
SLIDE_KSNITCH_APPENDED_FUTEXES,2048,target.h; page.c; util.c,DISCOVERY_SIGNAL,KernelSnitch candidate population,Memory/resources,SLIDE_KSNITCH_REPEAT_MEASUREMENT; SLIDE_KSNITCH_AVERAGE; SLIDE_KSNITCH_SCREEN_REPEAT; SLIDE_KSNITCH_SCREEN_AVERAGE,RESOURCE_EXHAUSTION,Positive allocation/sample count; resource ceiling environment-defined,Memory/CPU prerequisites only,Candidate/resource outcome,Population affects both coverage and cost.
