STRUCT,SIZE,MEMBER,OFFSET_BYTES,OFFSET_HEX,BTF_EVIDENCE,DWARF_EVIDENCE,ZG3_VALUE_IF_PRESENT,MATCH_ZG3,NOTES
struct mm_struct,992,(anon),0,0x0,BTF type_id=67 bits_offset=0,DWARF pahole -F btf -C mm_struct,N/A,N/A,
struct mm_struct,992,cpu_bitmap,992,0x3e0,BTF type_id=67 bits_offset=7936,DWARF pahole -F btf -C mm_struct,N/A,N/A,
struct rb_node,24,__rb_parent_color,0,0x0,BTF type_id=79 bits_offset=0,DWARF pahole -F btf -C rb_node,N/A,N/A,
struct rb_node,24,rb_right,8,0x8,BTF type_id=79 bits_offset=64,DWARF pahole -F btf -C rb_node,N/A,N/A,
struct rb_node,24,rb_left,16,0x10,BTF type_id=79 bits_offset=128,DWARF pahole -F btf -C rb_node,N/A,N/A,
struct page,64,flags,0,0x0,BTF type_id=141 bits_offset=0,DWARF pahole -F btf -C page,N/A,N/A,
struct page,64,(anon),8,0x8,BTF type_id=141 bits_offset=64,DWARF pahole -F btf -C page,N/A,N/A,
struct page,64,(anon),48,0x30,BTF type_id=141 bits_offset=384,DWARF pahole -F btf -C page,N/A,N/A,
struct page,64,_refcount,52,0x34,BTF type_id=141 bits_offset=416,DWARF pahole -F btf -C page,N/A,N/A,
struct page,64,memcg_data,56,0x38,BTF type_id=141 bits_offset=448,DWARF pahole -F btf -C page,N/A,N/A,
struct file,264,f_u,0,0x0,BTF type_id=298 bits_offset=0,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_path,16,0x10,BTF type_id=298 bits_offset=128,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_inode,32,0x20,BTF type_id=298 bits_offset=256,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_op,40,0x28,BTF type_id=298 bits_offset=320,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_lock,48,0x30,BTF type_id=298 bits_offset=384,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_write_hint,52,0x34,BTF type_id=298 bits_offset=416,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_count,56,0x38,BTF type_id=298 bits_offset=448,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_flags,64,0x40,BTF type_id=298 bits_offset=512,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_mode,68,0x44,BTF type_id=298 bits_offset=544,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_pos_lock,72,0x48,BTF type_id=298 bits_offset=576,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_pos,120,0x78,BTF type_id=298 bits_offset=960,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_owner,128,0x80,BTF type_id=298 bits_offset=1024,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_cred,160,0xa0,BTF type_id=298 bits_offset=1280,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_ra,168,0xa8,BTF type_id=298 bits_offset=1344,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_version,200,0xc8,BTF type_id=298 bits_offset=1600,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_security,208,0xd0,BTF type_id=298 bits_offset=1664,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,private_data,216,0xd8,BTF type_id=298 bits_offset=1728,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_ep,224,0xe0,BTF type_id=298 bits_offset=1792,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_mapping,232,0xe8,BTF type_id=298 bits_offset=1856,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_wb_err,240,0xf0,BTF type_id=298 bits_offset=1920,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,f_sb_err,244,0xf4,BTF type_id=298 bits_offset=1952,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,android_kabi_reserved1,248,0xf8,BTF type_id=298 bits_offset=1984,DWARF pahole -F btf -C file,N/A,N/A,
struct file,264,android_kabi_reserved2,256,0x100,BTF type_id=298 bits_offset=2048,DWARF pahole -F btf -C file,N/A,N/A,
struct file_operations,288,owner,0,0x0,BTF type_id=304 bits_offset=0,DWARF pahole -F btf -C file_operations,0x00,IDENTICAL,Matches ZG3 macro FOPS_OWNER_OFF
struct file_operations,288,llseek,8,0x8,BTF type_id=304 bits_offset=64,DWARF pahole -F btf -C file_operations,0x08,IDENTICAL,Matches ZG3 macro FOPS_LLSEEK_OFF
struct file_operations,288,read,16,0x10,BTF type_id=304 bits_offset=128,DWARF pahole -F btf -C file_operations,0x10,IDENTICAL,Matches ZG3 macro FOPS_READ_OFF
struct file_operations,288,write,24,0x18,BTF type_id=304 bits_offset=192,DWARF pahole -F btf -C file_operations,0x18,IDENTICAL,Matches ZG3 macro FOPS_WRITE_OFF
struct file_operations,288,read_iter,32,0x20,BTF type_id=304 bits_offset=256,DWARF pahole -F btf -C file_operations,0x20,IDENTICAL,Matches ZG3 macro FOPS_READ_ITER_OFF
struct file_operations,288,write_iter,40,0x28,BTF type_id=304 bits_offset=320,DWARF pahole -F btf -C file_operations,0x28,IDENTICAL,Matches ZG3 macro FOPS_WRITE_ITER_OFF
struct file_operations,288,iopoll,48,0x30,BTF type_id=304 bits_offset=384,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,iterate,56,0x38,BTF type_id=304 bits_offset=448,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,iterate_shared,64,0x40,BTF type_id=304 bits_offset=512,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,poll,72,0x48,BTF type_id=304 bits_offset=576,DWARF pahole -F btf -C file_operations,N/A,N/A,
