mutation_id,mutated_claim,mutated_file,test_command,expected_failure,observed_failure,killed,revert_verified
MUT-01,Isolated attributable timeout falsifies campaign to INCOMPATIBLE,tools/rmg-eze4/analysis/aggregator.py,python3 -m unittest tools/rmg-eze4/tests/test_phase_j2_design.py,"AssertionError: 'INCOMPATIBLE' != 'INCONCLUSIVE'","AssertionError: 'INCOMPATIBLE' != 'INCONCLUSIVE' in test_semantic_boundary_single_timeout_is_inconclusive and scenario single_timeout_inconclusive",true,true
MUT-02,Timeout falsification threshold reduced from 3 to 1 attributable timeout,tools/rmg-eze4/analysis/aggregator.py,python3 -m unittest tools/rmg-eze4/tests/test_phase_j2_design.py,"AssertionError: 'INCOMPATIBLE' != 'INCONCLUSIVE'","AssertionError: 'INCOMPATIBLE' != 'INCONCLUSIVE' in test_semantic_boundary_single_timeout_is_inconclusive",true,true
MUT-03,Timeout falsification permits 3 timeouts on a single boot (relaxing cross-boot requirement),tools/rmg-eze4/analysis/aggregator.py,python3 -m unittest tools/rmg-eze4/tests/test_phase_j2_design.py,"AssertionError: 'INCOMPATIBLE' != 'INCONCLUSIVE'","AssertionError: 'INCOMPATIBLE' != 'INCONCLUSIVE' in test_adversarial_neighboring_boundaries for scenario three_timeouts_single_boot_not_incompatible",true,true
MUT-04,Invalid trials count toward timeout falsification,tools/rmg-eze4/analysis/aggregator.py,python3 -m unittest tools/rmg-eze4/tests/test_phase_j2_design.py,"AssertionError: 'INCOMPATIBLE' != 'INVALID_EXPERIMENT'","AssertionError: 'INCOMPATIBLE' != 'INVALID_EXPERIMENT' in test_adversarial_neighboring_boundaries for scenario invalid_trial_timeout_not_falsified",true,true
MUT-05,Kernel identity in repro compare tooling allowed to be 5.15.180,tools/u11_repro_compare.py; tests/test_u11_repro_compare.py,python3 -m unittest tests/test_u11_repro_compare.py,"AssertionError: '5.15.180' != '5.15.189-android13-3-33478785'","AssertionError: '5.15.180' != '5.15.189-android13-3-33478785' in test_kernel_release_grounded_in_physical_evidence and AssertionError: False is not true in test_identical_wrong_kernel_identity_rejected",true,true
MUT-06,Clock source accepted as DEVICE_CLOCK_MONOTONIC instead of CLOCK_MONOTONIC,tools/rmg-eze4/analysis/validator.py,python3 -m unittest tools/rmg-eze4/tests/test_phase_j2_1_r1_schema.py,AssertionError: False is not true : Validation failed,"AssertionError: False is not true : Validation failed with: ['ILLEGAL_CLOCK_SOURCE_CLOCK_MONOTONIC'] in test_positive_canonical_record",true,true
MUT-07,Freezer state accepted as NOT_FROZEN instead of THAWED,tools/rmg-eze4/analysis/validator.py,python3 -m unittest tools/rmg-eze4/tests/test_phase_j2_1_r1_schema.py,AssertionError: False is not true : Validation failed,"AssertionError: False is not true : Validation failed with: ['ILLEGAL_FREEZER_STATE_THAWED'] in test_positive_canonical_record",true,true
MUT-08,Phase J2 design tests import or evaluate through legacy engine.py,tools/rmg-eze4/tests/test_phase_j2_design.py,python3 -m unittest tools/rmg-eze4/tests/test_phase_j2_design.py,AssertionError: test_phase_j2_design.py must not import legacy engine.py,AssertionError: 'engine' == 'engine' : test_phase_j2_design.py imports legacy 'engine' in test_no_engine_import_in_j2,true,true
MUT-09,Watchdog epoch shifted from post_fork_monotonic_ns to slide_ready_monotonic_ns,tools/rmg-eze4/analysis/validator.py,python3 -m unittest tools/rmg-eze4/tests/test_phase_j2_1_r1_schema.py,AssertionError: False is not true : Validation failed,"AssertionError: False is not true : Validation failed with: ['DERIVED_DURATION_NS_MISMATCH', 'DERIVED_DURATION_SECONDS_MISMATCH', 'CANONICAL_HEADROOM_MISMATCH', 'CLOCK_CORRELATION_DESYNC_EXCEEDS_1_1_SEC'] in test_positive_canonical_record",true,true
MUT-10,Partition cell count requirement relaxed from < 2 to < 1 valid trials per condition cell (isolated 12-trial fixture),tools/rmg-eze4/analysis/aggregator.py,python3 -m unittest tools.rmg-eze4.tests.test_phase_j2_design.PhaseJ2CanonicalDesignTests.test_isolated_cell_deficit_requires_two_trials_per_cell,"AssertionError: 'COMPATIBLE' != 'INCONCLUSIVE' (or cell deficit reason disappears)","AssertionError: 'COMPATIBLE' != 'INCONCLUSIVE' in test_isolated_cell_deficit_requires_two_trials_per_cell on fixture isolated_cell_deficit (initial kill was collateral due to global >=12-trial guard; new orthogonal 12-trial fixture isolated per-cell >=2 invariant and killed MUT-10 for intended reason)",true,true
