CLAIM,CANONICAL_VALUE,AUTHORITATIVE_SOURCE,MIRROR,CLASSIFICATION,CONTROL,STATUS
schema_version,2.2.1,docs/rmg-eze4/phase_j2_observation_schema_v2.json,tools/rmg-eze4/analysis/validator.py,SAFE_MIRROR,check_consistency.py,CONTROLLED
event_grammar_version,2.1.1,docs/rmg-eze4/phase_j2_event_grammar.json,tools/rmg-eze4/analysis/validator.py,SAFE_MIRROR,check_consistency.py,CONTROLLED
timeout_candidate_seconds,2200,docs/rmg-eze4/phase_h_l3_inventory.csv,validator.py and schema and fixtures,MANUAL_DUPLICATION,consistency plus independent boundary tests,CONTROLLED
compatibility_headroom_seconds,2195,docs/rmg-eze4/phase_j2_decision_table.csv,tools/rmg-eze4/analysis/validator.py,MANUAL_DUPLICATION,independent 2195 and 2197 tests,CONTROLLED
incompatibility_timeout_count,3,docs/rmg-eze4/phase_j2_e4_contract.md,tools/rmg-eze4/analysis/aggregator.py,SAFE_MIRROR,1/2/3/4 adversarial tests,CONTROLLED
incompatibility_distinct_boots,2,docs/rmg-eze4/phase_j2_e4_contract.md,tools/rmg-eze4/analysis/aggregator.py,SAFE_MIRROR,concentrated/distributed adversarial tests,CONTROLLED
minimum_campaign_boots,3,docs/rmg-eze4/phase_j2_e4_contract.md,tools/rmg-eze4/analysis/aggregator.py,SAFE_MIRROR,insufficient-boot fixture,CONTROLLED
minimum_valid_trials_per_partition,2,docs/rmg-eze4/phase_j2_e4_contract.md,tools/rmg-eze4/analysis/aggregator.py,SAFE_MIRROR,isolated-cell mutation guard,CONTROLLED
invalid_cap_per_boot,1,docs/rmg-eze4/phase_j2_e4_contract.md,tools/rmg-eze4/analysis/aggregator.py,SAFE_MIRROR,invalid-cap tests,CONTROLLED
invalid_cap_total,2,docs/rmg-eze4/phase_j2_e4_contract.md,tools/rmg-eze4/analysis/aggregator.py,SAFE_MIRROR,invalid-cap tests,CONTROLLED
physical_identity,EZE4 exact identity,Phase G retained raw evidence,validator.py and schema,SAFE_MIRROR,check_consistency.py,CONTROLLED
verdict_labels,COMPATIBLE|INCOMPATIBLE|INCONCLUSIVE|INVALID_EXPERIMENT,docs/rmg-eze4/phase_j2_decision_table.csv,aggregator.py and literal test oracles,SAFE_MIRROR,oracle independence audit,CONTROLLED
legacy_single-record_semantics,Phase I only,tools/rmg-eze4/analysis/engine.py,Phase I and J0 tests,SAFE_MIRROR,AST J2 import guards,HISTORICAL_ONLY
canonical_status,J2 COMPLETE,docs/rmg-eze4/CANONICAL_STATUS.md,README.md and PROJECT_STATUS.md,SAFE_MIRROR,verify_j2_closure.py,CONTROLLED
