FILE_PATH,LINE_NUMBER,CODE_OR_TEXT_SNIPPET,SUPERSEDED_CONCEPT,CANONICAL_SEMANTIC_REF,SEVERITY,STATUS,IMPACT_AND_REMEDIATION
tools/rmg-eze4/tests/test_phase_j2_design.py,"8-9, 85-89","import engine; actual = engine.analyze_observations(records, required_level=""E4"")[""classification""]",Evaluating Phase J2 controlled execution scenarios using the superseded Phase I classifier (engine.py) instead of canonical Phase J2 aggregator (aggregator.py).,PHASE_J2_1_R1.md; phase_j2_e4_contract.md; tools/rmg-eze4/analysis/aggregator.py,CRITICAL,REMEDIATED,"Migrated test_phase_j2_design.py to test aggregator.aggregate_campaign and validator.validate_observation_record against 12 canonical Schema v2.2.1 campaign scenarios. Added AST guard test_no_engine_import_in_j2 to permanently prohibit importing engine.py in Phase J2 tests."
tools/rmg-eze4/tests/fixtures/phase_j2_timeout_scenarios.json,3,"{""id"":""clean_incompatible"",""mode"":""single"",""evidence_level"":""E4"",""compatible"":false,""incompatible"":true,""expected"":""INCOMPATIBLE""}",Single trial record with timeout yields INCOMPATIBLE for the campaign.,PHASE_J2_1_R1.md Section 28 Q3-Q4; phase_j2_decision_table.csv row 5; aggregator.py lines 130-134,CRITICAL,REMEDIATED,"Replaced single-record fixture with canonical campaign fixture 'attributable_falsification_3_timeouts_cross_boot' (3 attributable timeouts across 2 boots in same condition), which correctly certifies INCOMPATIBLE under canonical J2.1-R1 repeated-timeout policy."
tools/rmg-eze4/tests/fixtures/phase_j2_timeout_scenarios.json,4,"{""id"":""single_timeout"",""mode"":""single"",""evidence_level"":""E2"",""compatible"":false,""incompatible"":true,""expected"":""INCONCLUSIVE""}",Single timeout yields INCONCLUSIVE due to INSUFFICIENT_EVIDENCE_LEVEL (E2 < E4) rather than due to repeated-timeout campaign policy.,PHASE_J2_1_R1.md Blocker R1-03; phase_j2_decision_table.csv row 5; aggregator.py lines 130-134,CRITICAL,REMEDIATED,"Replaced rigged E2 fixture with canonical campaign fixture 'single_timeout_inconclusive' at full E4 evidence level (11 compatible trials + 1 attributable timeout). Now correctly asserts INCONCLUSIVE with reason ATTRIBUTABLE_TIMEOUT_WITHOUT_MEETING_FALSIFICATION_THRESHOLD."
tools/rmg-eze4/tests/fixtures/phase_j2_timeout_scenarios.json,2,"{""id"":""clean_compatible"",""mode"":""single"",""evidence_level"":""E4"",""compatible"":true,""incompatible"":false,""expected"":""COMPATIBLE""}",Single trial record yields COMPATIBLE for the campaign.,phase_j2_e4_contract.md lines 12-45; aggregator.py lines 92-127,HIGH,REMEDIATED,"Replaced single-record fixture with canonical campaign fixture 'canonical_compatible_e4' containing all 12 required qualifying trials across 3 boots x 2 conditions x 2 trials, properly validating E4 partition matrix."
tools/rmg-eze4/analysis/engine.py,149-150,"if votes[INCOMPATIBLE]: return {""classification"": INCOMPATIBLE, ""reasons"": []}",Single incompatible vote anywhere in record batch immediately certifies campaign INCOMPATIBLE.,"phase_j2_decision_table.csv row 5; aggregator.py lines 74-89, 130-134",CRITICAL,REMEDIATED,"Module header updated with clear LEGACY Phase-I single-record classifier banner. Documented scope restriction to Phase I backward compatibility (test_phase_i_analysis.py and test_phase_j0_selection.py). AST guard added in J2 test suite to prevent any Phase J2 code from importing or using engine.py."
tools/rmg-eze4/analysis/engine.py,"21-27, 138-141","REQUIRED_FIELDS = {""SESSION_ID"", ""BOOT_ID"", ...}; if require_cross_boot and len(boots) < 2: ...",Phase I uppercase flat observation schema; 2-boot / 2-condition minimum without partition cells or invalid caps.,phase_j2_observation_schema_v2.json; phase_j2_e4_contract.md; aggregator.py,HIGH,REMEDIATED,"Scoped strictly to Phase I backward compatibility. J2 evaluation completely transferred to aggregator.py and validator.py."
tools/rmg-eze4/schemas/observation.schema.json,1-33,"{""$id"": ""urn:rmg-eze4:phase-i:observation"", ""additionalProperties"": true, ""required"": [""SESSION_ID"", ...]}","Phase I observation schema with permissive additionalProperties, uppercase keys, and no schema/grammar versions.",docs/rmg-eze4/phase_j2_observation_schema_v2.json,MEDIUM,LEGACY_RETAINED,"Retained strictly for Phase I historical validation. Active J2 validation uses phase_j2_observation_schema_v2.json (v2.2.1)."
docs/rmg-eze4/phase_j2_observation_schema.json,54,"""clock_source"": {""const"": ""DEVICE_CLOCK_MONOTONIC""}",Clock source identifier named DEVICE_CLOCK_MONOTONIC.,phase_j2_clock_model.md; phase_j2_observation_schema_v2.json line 124; validator.py line 159,HIGH,REMEDIATED,"Schema file marked as 'deprecated: true' with explicit deprecation notice directing consumers to Schema v2.2.1. Title updated to indicate deprecation."
docs/rmg-eze4/phase_j2_observation_schema.json,44,"""freezer_state"": {""const"": ""NOT_FROZEN""}",Freezer state named NOT_FROZEN.,phase_j2_observation_schema_v2.json line 113; phase_j2_1_taxonomy.md,MEDIUM,REMEDIATED,"Schema file marked as 'deprecated: true'. Validator.py hardened to validate freezer_state enum explicitly ('THAWED','FROZEN','TRANSITIONING','UNKNOWN')."
docs/rmg-eze4/phase_j2_observation_schema.json,"27, 31, 32","""fingerprint"": {""type"": ""string"", ""minLength"": 1}; ""kernel_identity"": {""type"": ""string"", ""minLength"": 1}","Unconstrained string matching for build fingerprint, kernel identity, and artifact identity.","PHASE_J2_1_R1_1.md Section 4; phase_j2_observation_schema_v2.json lines 64, 72; validator.py lines 117-120",HIGH,REMEDIATED,"Schema file marked as 'deprecated: true'. Schema v2.2.1 enforces exact physical constants ca56baf4..., 5.15.189-android13-3-33478785, and samsung/gts9fewifieea/gts9fewifi:16/BP4A.251205.006/X510XXUCEZE4:user/release-keys."
docs/rmg-eze4/phase_j2_observation_schema.json,33-34,"""candidate_parameter"": {""const"": ""DEFAULT_ATTEMPT_TIMEOUT_SEC""}, ""candidate_value"": {""const"": 2200}",candidate_parameter and candidate_value as unnested top-level properties.,phase_j2_observation_schema_v2.json lines 28-35; validator.py lines 75-80,MEDIUM,REMEDIATED,"Schema file marked as 'deprecated: true'. Schema v2.2.1 nests under candidate_identity object."
docs/rmg-eze4/j1_timeout_decision_rules.md,"20-27, 64-65",T_attempt(r) >= T_timeout => TERMINATED_BY_TIMEOUT ... INCOMPATIBLE if r.INCOMPATIBLE and not r.COMPATIBLE,Abstract decision logic allowing single timeout expiry during an attempt to certify INCOMPATIBLE.,phase_j2_decision_table.csv row 5-6; phase_j2_e4_contract.md; PHASE_J2_1_R1.md,HIGH,HISTORICAL_DOCUMENTATION,"Historical Phase J1 design doc superseded by Phase J2 Decision Table and E4 Contract. Canonical evaluation path executes aggregator.py."
docs/rmg-eze4/j1_timeout_synthetic_tests.md,"14, 34-39",CASE_02: Timeout expiry => INCOMPATIBLE ... Watchdog timeout expiry on legitimate execution correctly falsifies the parameter as INCOMPATIBLE,Phase J1 claim that single watchdog timeout expiry on legitimate execution certifies parameter INCOMPATIBLE.,PHASE_J2_1_R1.md Blocker R1-03; phase_j2_decision_table.csv row 5,HIGH,HISTORICAL_DOCUMENTATION,"Historical Phase J1 test documentation. Superseded by phase_j2_timeout_scenarios.json and test_phase_j2_design.py."
docs/rmg-eze4/PHASE_J2_1_R1.md,"37, 95",Event Grammar v2.1.1 and Schema v2.2.0 represent typed event payloads ... Governed by Event Grammar v2.1.1 and Schema v2.2.0.,Reference to Schema v2.2.0 instead of Schema v2.2.1.,PHASE_J2_1_R1_1.md line 9; phase_j2_observation_schema_v2.json line 26; validator.py line 23,MEDIUM,REMEDIATED,"Updated lines 37 and 95 of docs/rmg-eze4/PHASE_J2_1_R1.md from Schema v2.2.0 to Schema v2.2.1 to harmonize with canonical implementation."
docs/rmg-eze4/phase_j2_observation_schema_v2.json,4,"""title"": ""PhaseJ2ObservationRecordV2_2""",Schema title references V2_2 instead of V2_2_1.,phase_j2_observation_schema_v2.json line 26 (schema_version const 2.2.1),LOW,REMEDIATED,"Updated title in phase_j2_observation_schema_v2.json to 'PhaseJ2ObservationRecordV2_2_1' to harmonize title with schema_version const '2.2.1'."
docs/rmg-eze4/phase_j2_synthetic_dry_run.md,1-30,Fourteen required J2 fixtures passed through the existing Phase I analyzer ... tools/rmg-eze4/analysis/engine.py,Claiming that executing phase_j2_timeout_scenarios.json against engine.py validates Phase J2 controlled execution design.,PHASE_J2_1_R1.md Section 3; phase_j2_1_r1_replay_report.md,HIGH,HISTORICAL_DOCUMENTATION,"Historical dry run doc describing initial Phase I pipeline. Superseded by canonical J2.1-R1 replay suite (test_phase_j2_1_r1_replay.py and test_phase_j2_design.py)."
reports/2026-08-23-u11-eze4-binary-abi-audit.md,25,| stock payload kernel (`Image`) | `0ab39cc588c12511023a3e156a3a047a01480bb11562401245ab1d44e5224d4e` |,Stock kernel payload Image hash recorded as 0ab39cc588c12511023a3e156a3a047a01480bb11562401245ab1d44e5224d4e.,reports/eze4-source-intake/kernel-stock-match.md line 80; docs/rmg-eze4/PHASE_J2_1_R1.md line 40,MEDIUM,HISTORICAL_ERRATA,"Historical ABI report. Canonical stock kernel Image digest is ca56baf428a3f334d90f5d366f02e6cb36cf70fec23a2055b4f80c29cbe6ede9 as verified by check_consistency.py directly on artifacts/stock/images/Image.stock."
tests/test_u11_repro_compare.py,17,"""target_stock=X510XXUCEZE4"", ""kernel_release=5.15.180""",Mock metadata pairing EZE4 target stock with kernel_release 5.15.180 instead of 5.15.189.,configs/eze4-x510xxuceze4.env line 12; tests/test_eze4_pipeline.py line 25,MEDIUM,REMEDIATED,"Corrected mock metadata to canonical '5.15.189-android13-3-33478785'. Added test_identical_wrong_kernel_identity_rejected to eliminate false-green mock self-confirmation, and test_kernel_release_grounded_in_physical_evidence asserting exact match with raw/06_uname.txt. Created tools/repro_compare.py alias and documented naming debt."
