OBSERVABLE,SOURCE,EMITTED_WHEN,DISTINGUISHES,AMBIGUOUS_WITH,RELIABILITY,NOTES
"preload supervisor pid=%d attempts=%d base_delay=%d p0_timeout=%d timeout=%d",src/preload.c:151-155,Supervisor constructor starts,Active timeout and attempt policy configuration from defaults,None,HIGH,Establishes configured attempt timeout and P0 timeout values for the session
"exploit attempt=%d/%d pid=%d delay=%d ...",src/preload.c:170-179,Child process successfully forked,Attempt start timestamp and attempt index,None,HIGH,Marks start of monotonic attempt duration measurement
"exploit attempt=%d/%d timeout pid=%d seconds=%d",src/preload.c:208-209,Elapsed monotonic time reaches or exceeds active timeout threshold,Timeout expiry from internal child failures crashes and external cancellation; pre-P0 timeout vs overall timeout by seconds parameter,None,HIGH,Primary definitive observable of supervisor timeout expiry
"exploit attempt=%d/%d terminated signal=%d",src/preload.c:270,Child process terminated due to an unhandled signal,Signal termination from clean exit status,External SIGKILL vs supervisor SIGKILL (unless correlated with preceding timeout log),HIGH,Reaped via waitpid; signal=9 following timeout log confirms supervisor kill
"exploit attempt=%d/%d failed status=%d",src/preload.c:273,Child process voluntarily exited with non-zero status,Child explicit failure or abort from timeout or crash,Specific internal failure stage if child uses non-distinct status code,HIGH,Confirms child executed to completion without timing out
"exploit completed attempt=%d/%d",src/preload.c:223,Child exits with status 0,Successful attempt completion from all failure modes,None,HIGH,Confirms all stages succeeded within timeout budget
"p0 oracle state dirty or uncertain; refusing unsafe retry",src/preload.c:263,Child failed after calling app_publish_p0_dirty(),P0 oracle dirty abort from clean retryable failure,None,HIGH,Enforces single-shot oracle safety rule
"stack writer ran; refusing retry on this boot",src/preload.c:229,Child failed after calling app_publish_writer_started(),Terminal post-writer abort from pre-writer failure,None,HIGH,Enforces single-shot boot rule after stack modification
"exploit failed after %d independent attempts",src/preload.c:283,All max_attempts exhausted without success,Retry budget exhaustion from early abort on dirty state,None,HIGH,Terminal supervisor failure message before exiting with code 1
"app_p0_state->slide_ready atomic flag",src/preload.c:24 56 203,Child completes slide discovery stage,Pre-slide phase from post-slide phase,None,HIGH,Triggers dynamic supervisor timeout threshold expansion from 1200s to 2200s
"app_p0_state->p0_ready atomic flag",src/preload.c:25 41 236,Child discovers P0 physical offset,P0 discovery completion from pre-P0 search phase,None,HIGH,Enables P0 offset caching for subsequent attempts if child later fails
"pipe-physrw-summary pid=%d done=%d root=%d kaslr=%d base=%016zx slide=%016zx",src/main.c:439-441,Child completes CFI and privilege stage,Post-privilege stage completion from intermediate stages,None,HIGH,Emitted immediately prior to child returning 0
"waiting for boot allocator quiet window seconds=%lld uptime=%lld",src/preload.c:106-107,Supervisor starts while device uptime is under 120 seconds,Initial boot quiet wait from attempt execution,None,HIGH,Uses CLOCK_BOOTTIME to prevent early allocator noise
"safe retry quiet delay seconds=5",src/preload.c:278,Clean attempt failure occurs and attempt < max_attempts,Inter-attempt delay from child attempt duration,None,HIGH,Ensures 5s inter-attempt sleep is not attributed to child duration
