source_module,canonical_or_legacy,schema_version,semantic_authority,direct_physical_grounding,callers,tests
tools/rmg-eze4/analysis/aggregator.py,CANONICAL,2.2.1,"PHASE_J2_1_R1.md; phase_j2_e4_contract.md; phase_j2_decision_table.csv; phase_j2_stop_rules.csv",Validates and aggregates canonical Schema v2.2.1 observation records requiring exact physical hardware identity,"test_phase_j2_1_r1_replay.py; test_phase_j2_design.py; check_consistency.py; active J2 campaign evaluation","tools/rmg-eze4/tests/test_phase_j2_1_r1_replay.py; tools/rmg-eze4/tests/test_phase_j2_design.py"
tools/rmg-eze4/analysis/validator.py,CANONICAL,2.2.1,"docs/rmg-eze4/phase_j2_observation_schema_v2.json; docs/rmg-eze4/phase_j2_event_grammar.json; docs/rmg-eze4/phase_j2_clock_model.md","Enforces exact const constraints for Image.stock SHA-256 (ca56baf4...), kernel_identity (5.15.189-android13-3-33478785), fingerprint (BP4A.251205.006), CLOCK_MONOTONIC, THAWED freezer state","aggregator.py; test_phase_j2_1_r1_schema.py; test_phase_j2_1_r1_replay.py; test_phase_j2_design.py; check_consistency.py","tools/rmg-eze4/tests/test_phase_j2_1_r1_schema.py; tools/rmg-eze4/tests/test_phase_j2_design.py"
tools/rmg-eze4/analysis/check_consistency.py,CANONICAL,2.2.1,Phase G Hardware Baseline captures (docs/rmg-eze4/runtime-evidence/20260906T094426Z/raw/) and artifacts/stock/images/Image.stock,"Direct dynamic parser extraction from raw capture files (01_product_model.txt through 06_uname.txt) and binary SHA256 of Image.stock; eliminates circular self-confirmation","Autonomous CI/CD consistency check; build verification pipeline",tools/rmg-eze4/analysis/check_consistency.py (standalone verification suite executing 7 invariant checks)
tools/rmg-eze4/analysis/engine.py,LEGACY,1.0 (Phase I uppercase flat schema),Phase I Single-Record Classifier Contract (historical),None (evaluates synthetic uppercase flat records),test_phase_i_analysis.py; test_phase_j0_selection.py,"tools/rmg-eze4/tests/test_phase_i_analysis.py; tools/rmg-eze4/tests/test_phase_j0_selection.py (Permanently isolated from J2 via AST regression guard)"
tools/u11_repro_compare.py,CANONICAL (naming debt),N/A,"configs/eze4-x510xxuceze4.env; Phase G Hardware Baseline (04_build_incremental.txt, 06_uname.txt)","Enforces exact target_stock=X510XXUCEZE4 and kernel_release=5.15.189-android13-3-33478785 against physical build artifacts",EZE4 migration & build reproducibility pipeline (EZE4-SOURCE-MIGRATION-ASSESSMENT.md); tools/repro_compare.py,tests/test_u11_repro_compare.py
tools/repro_compare.py,CANONICAL,N/A,configs/eze4-x510xxuceze4.env; tools/u11_repro_compare.py,Wrapper alias resolving naming debt for tools/u11_repro_compare.py,EZE4 migration pipeline; command-line users,tests/test_u11_repro_compare.py
docs/rmg-eze4/phase_j2_observation_schema_v2.json,CANONICAL,2.2.1,"PHASE_J2_1_R1.md; PHASE_J2_1_R1_1.md; phase_j2_e4_contract.md","Defines exact const constraints for model (SM-X510), device (gts9fewifi), build_incremental (X510XXUCEZE4), build_fingerprint, kernel_identity, artifact_identity (ca56baf4...), clock_source, freezer_state",validator.py; jsonschema validation tooling,"tools/rmg-eze4/tests/test_phase_j2_1_r1_schema.py; tools/rmg-eze4/tests/test_phase_j2_1_r1_replay.py; tools/rmg-eze4/tests/test_phase_j2_design.py"
docs/rmg-eze4/phase_j2_observation_schema.json,SUPERSEDED (deprecated),1.0,Historical Pre-J2.1 draft schema,None (deprecated: true; contains superseded DEVICE_CLOCK_MONOTONIC and NOT_FROZEN),None (deprecated),None
tools/rmg-eze4/schemas/observation.schema.json,LEGACY,Phase I,Phase I historical telemetry contract,None (Phase I flat uppercase schema),Phase I historical tools,tools/rmg-eze4/tests/test_phase_i_analysis.py
tools/rmg-eze4/tests/test_phase_j2_design.py,CANONICAL,2.2.1,"PHASE_J2_1_R1.md; phase_j2_decision_table.csv; phase_j2_e4_contract.md",Tests canonical aggregator.py and validator.py using literal string oracles; enforces AST ban on engine.py,python3 -m unittest discover -s tools/rmg-eze4/tests,Self-contained test suite (15 tests)
tools/rmg-eze4/tests/fixtures/phase_j2_timeout_scenarios.json,CANONICAL,2.2.1,"PHASE_J2_1_R1.md; phase_j2_e4_contract.md; phase_j2_decision_table.csv; phase_j2_stop_rules.csv",12 canonical campaign fixtures exercising complete 12+ trial partition matrices with valid SHA256 boot IDs and exact hardware identity,test_phase_j2_design.py,tools/rmg-eze4/tests/test_phase_j2_design.py
