PARAMETER,J0_EXCLUSION,STRUCTURAL_OR_CONSERVATIVE,STATIC_WORK_REMAINING,COULD_BECOME_FIRST_WAVE,WHY
SLIDE_KERNEL_PAGE_SETUP_ATTEMPTS,P0_DEPENDENT; low attribution quality; setup loop bound,Conservative,Detailed failure mode mapping of setup page allocator states,NO,Downstream of P0 physical oracle setup; requires empirical setup outcome distributions
FOPS_KERNEL_PAGE_SETUP_ATTEMPTS,P0_DEPENDENT; low attribution quality; fops route setup loop bound,Conservative,Static mapping of fops setup exit states,NO,Coupled with fops route timing and P0-dependent state; requires empirical setup outcome distributions
FOPS_ROUTE_COARSE_DELAY_USEC,MUST_VALIDATE; P0_DEPENDENT; CORRECTNESS_CRITICAL; WRONG_STATE; soft prerequisite on fops setup,Structural,None (scheduler race window cannot be proved statically),NO,Mandatory must-validate parameter; wrong-state consequence can panic kernel; requires validated setup state
FOPS_ROUTE_FINE_DELAY_TICKS,MUST_VALIDATE; P0_DEPENDENT; CORRECTNESS_CRITICAL; WRONG_STATE; hard prerequisite FOPS_ROUTE_COARSE_DELAY_USEC,Structural,None,NO,Mandatory must-validate sweep array; strictly dependent on coarse window baseline; wrong-state consequence
DEFAULT_EXPLOIT_ATTEMPTS,Dependency blocked by fine sweep; low attribution quality; supervisor retry policy target undeclared,Conservative,Formalization of explicit supervisor retry policy target and dirty-state exit rules,NO,Retry cap adequacy requires stable underlying attempt correctness observables and fine-sweep coverage
DEFAULT_P0_ATTEMPT_TIMEOUT_SEC,P0_ONLY; hard prerequisite DEFAULT_ATTEMPT_TIMEOUT_SEC; P0 loader mapping unresolved,Structural,Mapping Samsung loader load address to P0 fingerprint labels,NO,Upstream overall timeout must be validated first and P0 reachability/loader mapping remains open
SLIDE_WAIT_NSEC,MUST_VALIDATE; P0_DEPENDENT; CORRECTNESS_CRITICAL; WRONG_STATE; setup prerequisite,Structural,None (PI waiter synchronization window cannot be proved statically),NO,Must-validate race ordering parameter with wrong-state consequence; coupled to slide setup
SLIDE_REQUEUE_ARM_USEC,MUST_VALIDATE; P0_DEPENDENT; CORRECTNESS_CRITICAL; WRONG_STATE; hard prerequisite SLIDE_WAIT_NSEC,Structural,None,NO,Must-validate requeue ordering parameter strictly downstream of waiter establishment
SLIDE_KSNITCH_APPENDED_FUTEXES,Eligible but deferred; RESOURCE_EXHAUSTION failure effect disfavored over TIMEOUT,Conservative,Verification of user/kernel thread limits and futex allocation memory envelope,NO,Valid candidate for second wave but first wave prioritized the cleaner TIMEOUT consequence
SLIDE_KSNITCH_REPEAT_MEASUREMENT,Coupled with candidate population; FALSE_CLASSIFICATION; profile pairing prevents single-parameter attribution,Conservative,Factorial attribution model separating repeat count variance from population size,NO,Downstream of candidate population; profile pairing causes ambiguous attribution; false classification
SLIDE_KSNITCH_AVERAGE,Hard prerequisite SLIDE_KSNITCH_REPEAT_MEASUREMENT; FALSE_CLASSIFICATION,Structural,Statistical separation analysis across candidate classes,NO,Downstream of repeat count; cannot be interpreted without validated repeat profile
SLIDE_KSNITCH_SCREEN_REPEAT,Soft prerequisite on full profile; FALSE_CLASSIFICATION; screening profile coupled with full profile,Conservative,Screening ROC curve and false negative retention analysis,NO,Downstream of full profile ground truth; false-classification semantics
SLIDE_KSNITCH_SCREEN_AVERAGE,Hard prerequisite SLIDE_KSNITCH_SCREEN_REPEAT; FALSE_CLASSIFICATION,Structural,Screening threshold separation modeling,NO,Strictly downstream of screen repeat count; paired screening profile
SKB_SEND_SIZE,MUST_VALIDATE; CORRECTNESS_CRITICAL; WRONG_STATE; direct allocator geometry,Structural,Kernel allocator socket buffer layout verification (already analyzed in static closure guarded),NO,Must-validate allocator geometry parameter with wrong-state consequence; requires dedicated controlled geometry validation
SKB_RECLAIM_SENDS,Hard prerequisite SKB_SEND_SIZE; low attribution; reclaim spray count,Structural,Reclaim pool capacity modeling under allocator slab exhaustion,NO,Downstream of unvalidated SKB_SEND_SIZE geometry; cannot attribute reclaim coverage before geometry is validated
SLIDE_RECLAIM_SENDS,P0_DEPENDENT; hard prerequisite SKB_SEND_SIZE; low attribution; slide-stage reclaim,Structural,Consumer identity isolation between general and slide-specific reclaim paths,NO,Dual blockage: requires validated geometry and depends on slide-stage identity
P0_FINGERPRINT_MIN_BEST,P0_ONLY; CORRECTNESS_CRITICAL; FALSE_CLASSIFICATION; open loader mapping,Structural,Authoritative mapping of 125 fingerprint labels to physical loader offsets,NO,Blocked by open P0 loader ground truth; false-classification consequence
P0_FINGERPRINT_MIN_MARGIN,P0_ONLY; CORRECTNESS_CRITICAL; FALSE_CLASSIFICATION; hard prerequisite P0_FINGERPRINT_MIN_BEST,Structural,Collision reachability modeling under authoritative loader mapping,NO,Strictly downstream of best-score threshold and blocked by open P0 loader ground truth
